trees_total,trees_alive,trees_burning,trees_burned,bushes,chickens,water,empty
1596,1596,0,0,585,10,0,519
1604,1603,1,0,591,10,0,505
1614,1600,14,0,595,10,0,491
1629,1606,22,1,600,10,0,471
1637,1588,35,14,602,10,0,461
1650,1570,57,23,604,10,0,446
1661,1538,74,49,604,10,0,435
1674,1497,98,79,605,10,0,421
1672,1467,96,109,595,10,0,433
1672,1436,81,155,584,10,0,444
1658,1386,102,170,577,10,0,465
1642,1336,127,179,558,10,0,500
1615,1285,132,198,544,10,0,541
1576,1240,128,208,521,10,0,603
1553,1200,119,234,499,10,0,648
1529,1160,114,255,484,10,0,687
1486,1132,103,251,443,10,0,771
1445,1089,114,242,422,10,0,833
1404,1063,119,222,389,10,0,907
1366,1037,101,228,375,10,0,959
1330,1020,88,222,342,10,0,1028
1303,1014,74,215,327,10,0,1070
1289,1002,80,207,316,10,0,1095
1252,1013,64,175,290,10,0,1158
1238,1021,49,168,273,10,0,1189
1227,1041,48,138,263,10,0,1210
